PRIYA_MISHRA,ODI,Fielding First,2024–2025,5,5,5,5,0,6,Feb-41,44,0,0,0,-39,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
PRIYA_PUNIA,ODI,Batting First,2019–2024,6,65,32,10.83,0,0,0,,,,,,,,,
PRIYA_PUNIA,ODI,Fielding First,2019–2024,6,208,75*,52,0,1,0,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
PRIYA_PUNIA,T20,Batting First,2019–2019,1,4,4,4,0,1,0,,,,,,,,,
PRIYA_PUNIA,T20,Fielding First,2019–2019,2,5,4,2.5,0,0,0,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
AMANJOT_KAUR,ODI,Batting First,2023–2026,9,157,57,19.62,0,10,Mar-54,37.5,0,2,0,-17.87,,,,
AMANJOT_KAUR,ODI,Fielding First,2023–2025,8,100,20*,25,0,9,Apr-31,34.22,0,2,0,-9.22,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
AMANJOT_KAUR,T20,Batting First,2023–2026,13,167,63*,27.83,0,3,Jan-17,43,0,2,0,-15.16,,,,
AMANJOT_KAUR,T20,Fielding First,2023–2026,10,22,10*,11,0,5,Feb-25,37.8,0,7,0,-26.8,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
RADHA_YADAV,ODI,Batting First,2021–2025,8,39,19,9.75,0,5,Mar-35,76.4,0,6,0,-66.65,,,,
RADHA_YADAV,ODI,Fielding First,2024–2025,6,66,48,33,0,8,Apr-69,35,0,6,0,-2,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
RADHA_YADAV,T20,Batting First,2018–2025,45,79,14*,9.87,0,52,Apr-29,17.78,0,17,0,-7.91,,,,
RADHA_YADAV,T20,Fielding First,2018–2025,44,14,4,1.55,0,51,Apr-23,20.43,0,16,0,-18.87,,,,
playerId,format,condition,span,Mat,Wkts,BBI,5w,Ct,St,,,,,,,,,,
SAIKA_ISHAQUE,ODI,Batting First,2023–2023,1,0,-,0,0,0,,,,,,,,,,
SAIKA_ISHAQUE,ODI,Fielding First,-,0,-,-,-,-,-,,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SAIKA_ISHAQUE,T20,Batting First,2023–2023,1,8,8,8,0,1,Jan-21,21,0,0,0,-13,,,,
SAIKA_ISHAQUE,T20,Fielding First,2023–2023,2,-,-,-,-,4,Mar-22,15,0,0,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
